video_id,rho_bi,tau_bi,mse_bi,mae_bi,overlap_bi,f_score_bi,rho_tr,tau_tr,mse_tr,mae_tr,overlap_tr,f_score_tr
Base_jumping,-0.33311758132935215,-0.23774286304476108,0.04100462918446771,0.17488279169276041,0.0,0.31279620850115675,-0.13936811948655126,-0.10185827508953195,0.03221077980413102,0.15622322114103285,0.14893617021276595,0.4522968197560214
Uncut_Evening_Flight,-0.10844678868351935,-0.07876144469613981,0.06241241647172512,0.22574218928351886,0.07291666666666667,0.3977055449178698,0.045800667116508265,0.03205754662580425,0.059498548850532906,0.21907071374337497,0.041666666666666664,0.38399999996928
Bus_in_Rock_Tunnel,0.17576050604716356,0.1346318585428912,0.03814302553154221,0.17539018184612748,0.39215686274509803,0.9333333332088891,0.17672456846642118,0.13447960311903723,0.03147381816971957,0.15697559365609878,0.37254901960784315,0.7066666665724445
St_Maarten_Landing,-0.09260136598093936,-0.06842266843225829,0.05438206482307038,0.20352333527135155,0.35294117647058826,0.7241379307847801,0.4433591874396697,0.34933382475967045,0.04899133966033971,0.19626268898050292,0.7058823529411765,1.0638297867813489
Cockpit_Landing,0.4312593276669071,0.32148291665650996,0.02867253497962869,0.14379975343530146,0.5333333333333333,0.9834815755785646,0.541831001412448,0.40599653061053154,0.03437812544259721,0.1645207383116876,0.45555555555555555,1.0504672896803562
paluma_jump,0.032472866915699485,0.013357790706378788,0.0639092439798263,0.22218253050836945,0.32,0.4999999998863637,0.2906800374183532,0.22040354665525003,0.0694061304056205,0.24023489546059643,0.32,0.568181818052686
Bearpark_climbing,-0.29914717875895525,-0.22896169445493333,0.06350176943432734,0.22069620802352602,0.18181818181818182,0.6593406591957494,-0.3001664477608166,-0.22149410278954237,0.042217643423170616,0.17727502299352968,0.06060606060606061,0.48648648642074505
Kids_playing_in_leaves,0.0885745385222703,0.06498277120222083,0.038536944313704566,0.16833650537872916,0.12903225806451613,0.46315789463933515,-0.08791085109261736,-0.06736200309978499,0.04410074032431289,0.1829653209830301,0.06451612903225806,0.3222748814860403
Bike_Polo,0.31421898364174783,0.22729563629646274,0.0614251243756177,0.23010624522600717,0.2,0.4736842104432134,0.09338667718153036,0.06996238516061641,0.05076934018670585,0.20650955238477975,0.2,0.7254901959361785
Air_Force_One,0.10529601315279835,0.08885127439742582,0.033066730821295874,0.1168279616708557,0.3333333333333333,0.8047337277154161,0.026869629186480278,0.022682765396239875,0.04127770133705765,0.17592385560274124,0.17777777777777778,0.6787878787056014
Jumps,0.2322712544747592,0.18120262027096085,0.05283375289578669,0.17224873918263864,0.3333333333333333,0.5833333328472222,-0.174373229784779,-0.1271294573964519,0.06722083874568496,0.22184418259809416,0.2222222222222222,0.3870967739438085
playing_ball,-0.04047888694820027,-0.0391273178596649,0.05589969149592646,0.20394206677107202,0.13636363636363635,0.4117647057612457,-0.10002348836078719,-0.06979998914663839,0.04573813933887003,0.18734088660086562,0.0,0.3902439023755702
car_over_camera,0.4506664044094004,0.359175221473489,0.025314924526190618,0.12501523677001158,0.46511627906976744,1.0225563908236759,0.41484267230205946,0.31370902195164285,0.026645139563211885,0.13790666769990811,0.5116279069767442,0.8280254776015255
Scuba,0.03141552339587749,0.02603612570676162,0.04989602588184975,0.2051919285035915,0.3181818181818182,0.6249999998437499,0.1573306700547188,0.0989770274959335,0.03701378714828674,0.16897218915322437,0.3181818181818182,0.6349206347190728
Playing_on_water_slide,-0.14192885183140416,-0.10845993591149657,0.04268815949466068,0.18351049062682362,0.2,0.4772727271642562,-0.06368946409821412,-0.04701527904263695,0.05763295171807706,0.21081671933817672,0.1,0.6699507388502511
Valparaiso_Downhill,0.16799278628116085,0.12136917776619449,0.062195355107399194,0.2294730110348764,0.23529411764705882,0.5909090907747934,-0.015976350255801082,-0.010273449091114393,0.053620127632498,0.21083915674617523,0.17647058823529413,0.4912280701409664
Notre_Dame,0.027962619443640518,0.025500858553777164,0.04808865097605622,0.19316966661707663,0.021739130434782608,0.33502538069365356,0.039537355189287575,0.03160403249336391,0.037508327317693185,0.16743481169531355,0.2608695652173913,0.6909090908462809
Eiffel_Tower,0.18693956774812429,0.1304988042084083,0.06249043462181988,0.22903204603666763,0.16326530612244897,0.5254237287245045,0.2246825106816712,0.16367431190164977,0.052420791635746096,0.20767031298823144,0.2857142857142857,0.5897435896679816
Fire_Domino,-0.2143614441877806,-0.14455404608096312,0.06684397527019052,0.22234625498085847,0.0,0.4776119401559368,-0.16882141108646315,-0.12864339939822622,0.084490434898862,0.26440670263988003,0.1875,0.25531914882752377
Car_railcrossing,0.24815695319459288,0.1827235181327807,0.045259993079905136,0.18612061346438782,0.12,0.419580419521737,0.1415325248082193,0.10379044705394228,0.04933920257469707,0.19717442681655772,0.16,0.6274509803429451
Statue_of_Liberty,-0.15796761779690288,-0.12117407200593885,0.04651104182894215,0.1899886031809649,0.07894736842105263,0.37804878044170137,-0.2615069522207711,-0.17851026065039477,0.04456216110951609,0.18361288552014077,0.0,0.271604938204542
Paintball,0.515405523516814,0.37257162368819574,0.03498886970260181,0.09943983082575146,0.18032786885245902,0.8955223879928713,0.02721145896227183,0.02289782036016308,0.04885558533070354,0.19107302350050917,0.14754098360655737,0.9245283017995728
Excavators_river_crossing,-0.0002317768665632324,-0.0037369285674644895,0.07708299622181873,0.24950470416574647,0.26804123711340205,0.7445544554160572,0.053042677617191995,0.03771678260867235,0.052209331299763184,0.20720241492261138,0.12371134020618557,0.4713656387561373
